iter	Passed	Remaining
0	6	6767
1	12	6377
2	19	6448
3	26	6544
4	33	6567
5	43	7221
6	51	7322
7	58	7300
8	66	7336
9	73	7265
10	79	7171
11	86	7148
12	93	7093
13	100	7106
14	107	7065
15	114	7032
16	121	7024
17	127	6963
18	134	6956
19	140	6900
20	147	6864
21	154	6853
22	160	6806
23	169	6881
24	175	6847
25	182	6845
26	189	6812
27	195	6790
28	202	6791
29	209	6762
30	216	6761
31	223	6756
32	232	6806
33	238	6790
34	245	6770
35	251	6742
36	257	6711
37	264	6701
38	271	6680
39	277	6655
40	283	6640
41	289	6612
42	296	6599
43	302	6573
44	308	6543
45	314	6531
46	320	6506
47	327	6493
48	333	6473
49	339	6451
50	346	6441
51	352	6423
52	358	6412
53	366	6420
54	372	6403
55	379	6398
56	385	6381
57	391	6366
58	397	6347
59	404	6338
60	411	6337
61	418	6332
62	426	6339
63	433	6337
64	439	6323
65	445	6310
66	451	6293
67	458	6283
68	464	6266
69	470	6249
70	477	6241
71	482	6224
72	489	6211
73	495	6197
74	501	6181
75	507	6172
76	514	6162
77	520	6154
78	527	6147
79	533	6133
80	540	6129
81	546	6117
82	553	6109
83	561	6121
84	567	6109
85	575	6114
86	581	6100
87	587	6091
88	594	6080
89	600	6068
90	607	6064
91	613	6055
92	621	6060
93	629	6063
94	637	6070
95	643	6057
96	649	6042
97	655	6036
98	662	6025
99	669	6021
100	676	6019
101	682	6005
102	689	6003
103	695	5995
104	702	5989
105	709	5986
106	716	5983
107	723	5978
108	730	5967
109	738	5976
110	744	5965
111	753	5975
112	761	5973
113	767	5967
114	774	5964
115	781	5954
116	788	5947
117	795	5943
118	802	5941
119	809	5934
120	815	5926
121	826	5947
122	834	5947
123	842	5949
124	849	5948
125	856	5942
126	864	5939
127	871	5934
128	878	5930
129	885	5924
130	892	5919
131	899	5914
132	906	5911
133	913	5903
134	920	5895
135	927	5893
136	936	5899
137	945	5904
138	952	5901
139	960	5898
140	968	5898
141	975	5892
142	984	5902
143	992	5897
144	998	5890
145	1005	5883
146	1014	5889
147	1021	5880
148	1028	5875
149	1035	5865
150	1041	5857
151	1048	5849
152	1055	5842
153	1062	5837
154	1068	5826
155	1075	5818
156	1081	5807
157	1087	5795
158	1094	5788
159	1100	5777
160	1107	5769
161	1113	5759
162	1119	5747
163	1126	5740
164	1132	5729
165	1138	5719
166	1145	5713
167	1152	5706
168	1160	5708
169	1167	5699
170	1174	5694
171	1180	5683
172	1186	5672
173	1193	5663
174	1198	5652
175	1205	5643
176	1217	5662
177	1224	5655
178	1230	5644
179	1236	5633
180	1242	5623
181	1249	5616
182	1256	5610
183	1263	5602
184	1270	5596
185	1276	5585
186	1282	5575
187	1288	5566
188	1294	5556
189	1301	5548
190	1307	5540
191	1313	5529
192	1320	5523
193	1326	5513
194	1333	5503
195	1340	5497
196	1346	5488
197	1354	5486
198	1360	5476
199	1367	5469
200	1373	5460
201	1379	5451
202	1386	5444
203	1392	5434
204	1399	5425
205	1408	5426
206	1414	5417
207	1421	5410
208	1427	5401
209	1433	5392
210	1439	5383
211	1445	5373
212	1452	5366
213	1459	5360
214	1466	5354
215	1488	5402
216	1497	5402
217	1504	5395
218	1510	5385
219	1516	5377
220	1522	5367
221	1528	5357
222	1535	5350
223	1541	5341
224	1549	5337
225	1555	5327
226	1562	5319
227	1568	5310
228	1574	5300
229	1580	5292
230	1586	5281
231	1592	5271
232	1601	5270
233	1607	5260
234	1613	5252
235	1619	5242
236	1625	5232
237	1631	5224
238	1637	5215
239	1643	5205
240	1650	5197
241	1656	5187
242	1662	5180
243	1669	5173
244	1677	5170
245	1685	5165
246	1691	5156
247	1698	5149
248	1704	5140
249	1711	5133
250	1717	5125
251	1724	5119
252	1731	5112
253	1738	5105
254	1747	5105
255	1754	5099
256	1762	5095
257	1768	5087
258	1775	5079
259	1781	5070
260	1788	5064
261	1798	5067
262	1805	5060
263	1812	5053
264	1819	5045
265	1826	5039
266	1832	5031
267	1840	5027
268	1847	5019
269	1854	5014
270	1861	5006
271	1867	4999
272	1874	4992
273	1882	4986
274	1888	4979
275	1895	4971
276	1902	4965
277	1909	4958
278	1915	4951
279	1922	4944
280	1929	4937
281	1936	4930
282	1943	4923
283	1949	4915
284	1958	4914
285	1965	4906
286	1972	4900
287	1978	4891
288	1984	4882
289	1993	4881
290	1999	4872
291	2006	4865
292	2013	4857
293	2019	4850
294	2025	4841
295	2031	4832
296	2039	4828
297	2045	4819
298	2053	4813
299	2060	4807
300	2067	4801
301	2074	4795
302	2081	4788
303	2089	4784
304	2096	4776
305	2103	4770
306	2110	4763
307	2117	4757
308	2124	4751
309	2131	4743
310	2138	4737
311	2146	4733
312	2154	4729
313	2162	4723
314	2169	4717
315	2176	4710
316	2185	4708
317	2192	4702
318	2199	4696
319	2206	4689
320	2213	4682
321	2219	4673
322	2225	4664
323	2232	4658
324	2238	4649
325	2244	4641
326	2250	4632
327	2256	4623
328	2263	4616
329	2269	4607
330	2275	4598
331	2281	4591
332	2288	4582
333	2295	4576
334	2302	4571
335	2309	4563
336	2315	4555
337	2321	4547
338	2328	4539
339	2334	4532
340	2340	4523
341	2348	4518
342	2354	4510
343	2361	4503
344	2367	4494
345	2374	4487
346	2384	4486
347	2390	4479
348	2397	4472
349	2403	4464
350	2411	4458
351	2418	4451
352	2425	4445
353	2432	4438
354	2438	4430
355	2444	4422
356	2451	4415
357	2458	4408
358	2464	4400
359	2472	4394
360	2478	4387
361	2485	4381
362	2492	4374
363	2499	4367
364	2506	4360
365	2516	4358
366	2523	4351
367	2530	4345
368	2537	4338
369	2544	4333
370	2550	4324
371	2557	4317
372	2563	4309
373	2570	4302
374	2578	4297
375	2584	4288
376	2590	4280
377	2596	4272
378	2602	4264
379	2609	4256
380	2615	4248
381	2621	4241
382	2627	4232
383	2633	4224
384	2639	4216
385	2645	4208
386	2652	4200
387	2658	4193
388	2664	4185
389	2671	4178
390	2677	4170
391	2685	4164
392	2692	4158
393	2699	4152
394	2706	4145
395	2713	4138
396	2722	4135
397	2730	4130
398	2739	4126
399	2746	4119
400	2753	4113
401	2760	4106
402	2768	4100
403	2776	4095
404	2783	4089
405	2791	4083
406	2798	4077
407	2805	4071
408	2812	4063
409	2819	4056
410	2825	4049
411	2832	4043
412	2838	4034
413	2844	4026
414	2850	4018
415	2856	4010
416	2862	4002
417	2868	3994
418	2874	3985
419	2881	3978
420	2886	3970
421	2892	3962
422	2900	3956
423	2906	3948
424	2912	3941
425	2918	3933
426	2926	3927
427	2934	3921
428	2940	3913
429	2948	3908
430	2954	3900
431	2962	3895
432	2970	3889
433	2987	3896
434	3001	3899
435	3011	3895
436	3018	3888
437	3025	3881
438	3031	3874
439	3038	3867
440	3045	3860
441	3051	3852
442	3058	3845
443	3064	3837
444	3071	3830
445	3078	3823
446	3085	3816
447	3092	3810
448	3099	3804
449	3107	3798
450	3114	3791
451	3120	3783
452	3127	3775
453	3133	3768
454	3140	3761
455	3147	3754
456	3156	3750
457	3163	3743
458	3170	3737
459	3176	3729
460	3182	3720
461	3189	3713
462	3195	3706
463	3202	3699
464	3208	3691
465	3214	3683
466	3222	3677
467	3228	3670
468	3236	3664
469	3242	3656
470	3249	3649
471	3256	3643
472	3262	3635
473	3269	3628
474	3277	3622
475	3284	3615
476	3291	3609
477	3299	3602
478	3305	3595
479	3312	3588
480	3319	3581
481	3326	3574
482	3332	3567
483	3339	3560
484	3346	3553
485	3356	3550
486	3364	3544
487	3371	3537
488	3378	3530
489	3385	3523
490	3391	3515
491	3397	3508
492	3403	3500
493	3409	3492
494	3416	3485
495	3422	3477
496	3428	3470
497	3435	3463
498	3441	3455
499	3447	3447
500	3454	3440
501	3460	3432
502	3466	3425
503	3473	3417
504	3480	3411
505	3489	3406
506	3497	3400
507	3504	3393
508	3511	3386
509	3517	3379
510	3523	3372
511	3530	3365
512	3537	3358
513	3546	3352
514	3554	3347
515	3561	3340
516	3569	3334
517	3577	3328
518	3583	3321
519	3590	3314
520	3597	3307
521	3605	3302
522	3613	3296
523	3620	3289
524	3627	3282
525	3633	3274
526	3639	3266
527	3646	3259
528	3652	3252
529	3659	3245
530	3665	3237
531	3671	3229
532	3679	3223
533	3685	3216
534	3692	3209
535	3698	3201
536	3704	3193
537	3710	3186
538	3716	3179
539	3723	3171
540	3729	3163
541	3735	3156
542	3744	3151
543	3751	3144
544	3758	3137
545	3765	3130
546	3773	3124
547	3781	3118
548	3788	3112
549	3795	3105
550	3801	3097
551	3808	3090
552	3815	3084
553	3822	3077
554	3829	3070
555	3836	3063
556	3843	3056
557	3850	3050
558	3857	3043
559	3865	3036
560	3872	3030
561	3878	3023
562	3886	3016
563	3893	3010
564	3900	3003
565	3909	2997
566	3915	2990
567	3922	2983
568	3929	2976
569	3937	2970
570	3943	2962
571	3949	2955
572	3956	2948
573	3962	2940
574	3969	2933
575	3975	2926
576	3982	2919
577	3988	2911
578	3994	2904
579	4000	2896
580	4006	2889
581	4012	2881
582	4018	2874
583	4024	2867
584	4031	2859
585	4038	2853
586	4044	2845
587	4052	2839
588	4058	2832
589	4065	2825
590	4073	2819
591	4080	2812
592	4089	2807
593	4096	2800
594	4103	2793
595	4110	2786
596	4117	2779
597	4124	2772
598	4133	2766
599	4140	2760
600	4146	2752
601	4153	2745
602	4159	2738
603	4166	2731
604	4173	2724
605	4180	2718
606	4186	2710
607	4193	2703
608	4200	2696
609	4206	2689
610	4213	2682
611	4220	2675
612	4226	2668
613	4232	2660
614	4238	2653
615	4245	2646
616	4251	2639
617	4257	2631
618	4264	2624
619	4270	2617
620	4278	2611
621	4285	2604
622	4293	2598
623	4300	2591
624	4307	2584
625	4316	2578
626	4323	2572
627	4332	2566
628	4339	2559
629	4347	2553
630	4353	2545
631	4360	2539
632	4367	2532
633	4374	2525
634	4381	2518
635	4389	2511
636	4395	2505
637	4403	2498
638	4411	2492
639	4417	2485
640	4424	2478
641	4431	2471
642	4438	2464
643	4445	2457
644	4452	2450
645	4460	2444
646	4467	2437
647	4475	2431
648	4481	2423
649	4488	2417
650	4495	2409
651	4501	2402
652	4508	2395
653	4514	2388
654	4523	2382
655	4529	2375
656	4536	2368
657	4542	2361
658	4548	2353
659	4555	2346
660	4561	2339
661	4568	2332
662	4574	2325
663	4580	2318
664	4587	2311
665	4593	2303
666	4600	2297
667	4607	2290
668	4614	2283
669	4621	2276
670	4627	2268
671	4634	2261
672	4640	2254
673	4646	2247
674	4653	2240
675	4659	2233
676	4665	2225
677	4672	2218
678	4678	2211
679	4685	2204
680	4691	2197
681	4697	2190
682	4705	2184
683	4712	2176
684	4721	2171
685	4728	2164
686	4734	2157
687	4740	2149
688	4747	2142
689	4753	2135
690	4759	2128
691	4765	2121
692	4771	2113
693	4777	2106
694	4784	2099
695	4790	2092
696	4796	2085
697	4802	2077
698	4808	2070
699	4816	2064
700	4823	2057
701	4830	2050
702	4836	2043
703	4842	2036
704	4850	2029
705	4856	2022
706	4863	2015
707	4869	2008
708	4875	2001
709	4884	1994
710	4890	1987
711	4896	1980
712	4902	1973
713	4908	1966
714	4918	1960
715	4924	1953
716	4932	1946
717	4938	1939
718	4944	1932
719	4950	1925
720	4956	1918
721	4963	1911
722	4968	1903
723	4975	1896
724	4981	1889
725	4987	1882
